Argentina,Canadá,Chile,Bolivia,Puerto Rico,Bosnia,Uruguay,Estados Unidos,México,Ecuador,Finlandia,Francia,Países Bajos,Panamá,Brasil,Venezuela,Reino Unido,España,El Salvador,Jamaica,Perú,Alemania,Sudáfrica,Portugal,Guyana,Israel,Dinamarca,Bélgica,Sierra Leona,Japón,Italia,Costa Rica,Polonia,Suiza,Colombia,Bogotá (Convocatoria Distrital)
Cápsula,,,,,,,Downset,Hello Seahorse!,,,,,,,,,,,,,,,,,,,,,,,,,,Skampida,Road wailer
"Gustavo 
Cordera y la Caravana Mágica.",,,,,,,Living Colour,"Rebel 
Cats",,,,,,,,,,,,,,,,,,,,,,,,,,Triple XXX,Anger Rise
,,,,,,,Bosnian Rainbows,Hoppo,,,,,,,,,,,,,,,,,,,,,,,,,,Dar A Cada Uno Lo Que Es Suyo,The passenger
,,,,,,,Nile,Frikstailers,,,,,,,,,,,,,,,,,,,,,,,,,,Ataque En Contra,Lavanda inglesa
,,,,,,,Fishbone,Agora,,,,,,,,,,,,,,,,,,,,,,,,,,Sexy Lucy,Cuántica
,,,,,,,Outernational,La Gusana Ciega,,,,,,,,,,,,,,,,,,,,,,,,,,LSCFJ,Chimparade
,,,,,,,"Blonde 
Redhead",Juan Cirerol,,,,,,,,,,,,,,,,,,,,,,,,,,Dub killer,La Mákina del Karibe
,,,,,,,Black Label Society,Celso Piña,,,,,,,,,,,,,,,,,,,,,,,,,,De juepuchas,
,,,,,,,Pro-Pain,Los Viejos,,,,,,,,,,,,,,,,,,,,,,,,,,Polikarpa y sus Viciosas,
,,,,,,,Nuclear Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,El reino del mar,
,,,,,,,Total Chaos,,,,,,,,,,,,,,,,,,,,,,,,,,,Jas ensamblé,
,,,,,,,POD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,The Coup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nortec Collective,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adrenaline Mob,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ill Niño,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Napalm Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"The 
Black Dahlia Murder",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sick Of It All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Deafheaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Baroness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
